(PDH-CSV 4.0) (India Standard Time)(-330),\\NCR-3M6OJM5HB98\.NET CLR Memory(StartSupv)\# Bytes in all Heaps,\\NCR-3M6OJM5HB98\Process(StartSupv)\Handle Count,\\NCR-3M6OJM5HB98\Process(StartSupv)\Private Bytes,\\NCR-3M6OJM5HB98\Process(StartSupv)\Thread Count,\\NCR-3M6OJM5HB98\Process(StartSupv)\Virtual Bytes,Byte In All Heaps ( In MB ),Private Bytes ( In MB ),Virual Bytes ( In MB )
08-06-18 20:42,14541848,3334,127377408,134,581918720,13.86818695,121.4765625,554.9609375
08-06-18 20:42,14541848,3334,127377408,134,581918720,13.86818695,121.4765625,554.9609375
08-06-18 20:43,14541848,3329,127373312,134,581918720,13.86818695,121.4726563,554.9609375
08-06-18 20:43,14541848,3334,127393792,135,582967296,13.86818695,121.4921875,555.9609375
08-06-18 20:43,14541848,3334,127393792,135,582967296,13.86818695,121.4921875,555.9609375
08-06-18 20:43,14541848,3334,127393792,135,582967296,13.86818695,121.4921875,555.9609375
08-06-18 20:44,14541848,3340,127430656,136,584015872,13.86818695,121.5273438,556.9609375
08-06-18 20:44,14541848,3336,127373312,134,581918720,13.86818695,121.4726563,554.9609375
08-06-18 20:44,14541848,3336,127373312,134,581918720,13.86818695,121.4726563,554.9609375
08-06-18 20:44,14541848,3336,127369216,134,581918720,13.86818695,121.46875,554.9609375
08-06-18 20:45,14541848,3333,127369216,134,581918720,13.86818695,121.46875,554.9609375
08-06-18 20:45,14541848,3338,127385600,135,582967296,13.86818695,121.484375,555.9609375
08-06-18 20:45,14541848,3338,127385600,135,582967296,13.86818695,121.484375,555.9609375
08-06-18 20:45,14541848,3338,127385600,135,582967296,13.86818695,121.484375,555.9609375
08-06-18 20:46,14541848,3333,127373312,134,581918720,13.86818695,121.4726563,554.9609375
08-06-18 20:46,14541848,3336,127373312,134,581918720,13.86818695,121.4726563,554.9609375
08-06-18 20:46,14541848,3336,127369216,134,581918720,13.86818695,121.46875,554.9609375
08-06-18 20:46,14541848,3336,127369216,134,581918720,13.86818695,121.46875,554.9609375
08-06-18 20:47,14541848,3333,127369216,134,581918720,13.86818695,121.46875,554.9609375
08-06-18 20:47,14541848,3338,127389696,135,582967296,13.86818695,121.4882813,555.9609375
08-06-18 20:47,14541848,3338,127389696,135,582967296,13.86818695,121.4882813,555.9609375
