(PDH-CSV 4.0) (Eastern Standard Time)(300),\\NCR-R20NI8BA19J\.NET CLR Memory(NCR.APTRA.CnsmrAppReference)\# Bytes in all Heaps,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Handle Count,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Private Bytes,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Thread Count,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Virtual Bytes,Sl.No.
09-11-18 12:00,35279820,4089,153370624,203,734834688,270
09-11-18 17:00,35279820,4093,153370624,203,735621120,271
09-11-18 22:00,35279820,4094,153391104,204,735883264,272
09-11-18 27:00,35279820,4091,153362432,202,734572544,273
09-11-18 32:00,35279820,4086,153018368,201,733523968,274
09-11-18 37:00,35279820,4091,153034752,203,735621120,275
09-11-18 42:00,35279820,4092,153034752,203,735621120,276
09-11-18 47:00,35279820,4093,153292800,203,735621120,277
09-11-18 52:00,35780476,4122,144662528,205,736268288,278
09-11-18 57:00,35780476,4173,145686528,213,745451520,279
09-11-18 02:00,35780476,4172,153759744,212,745058304,280
09-11-18 07:00,36313652,4166,153825280,212,745058304,281
09-11-18 12:00,36313652,4166,154025984,205,737718272,282
09-11-18 17:00,36313652,4171,153702400,206,738766848,283
09-11-18 22:00,36313652,4171,153956352,206,738766848,284
09-11-18 27:00,36313652,4169,154054656,206,738045952,285
09-11-18 32:00,36313652,4167,154034176,205,736997376,286
09-11-18 37:00,36313652,4173,154058752,206,738045952,287
09-11-18 42:00,36313652,4172,154058752,206,738045952,288
09-11-18 47:00,36313652,4170,154042368,205,737783808,289
09-11-18 52:00,36313652,4167,153698304,204,736735232,290
09-11-18 57:00,36313652,4176,153714688,206,738045952,291
09-11-18 02:00,36313652,4171,153653248,203,735686656,292
09-11-18 07:00,36313652,4171,153907200,203,735686656,293
09-11-18 12:00,36313652,4166,153985024,202,734638080,294
09-11-18 17:00,36313652,4172,154038272,205,736997376,295
09-11-18 22:00,36313652,4171,154025984,204,736735232,296
09-11-18 27:00,36313652,4172,154042368,205,736997376,297
09-11-18 32:00,36313652,4166,154005504,203,735686656,298
09-11-18 37:00,36313652,4173,153796608,204,736735232,299
09-11-18 42:00,36313652,4173,153681920,204,736735232,300
09-11-18 47:00,36313652,4173,153686016,204,736735232,301
09-11-18 52:00,36313652,4150,153899008,202,734629888,302
09-11-18 57:00,36514684,4173,154062848,204,736735232,303
09-11-18 02:00,36514684,4174,154079232,205,736997376,304
09-11-18 07:00,36514684,4173,154066944,204,736735232,305
09-11-18 12:00,36514684,4169,154062848,204,735948800,306
09-11-18 17:00,36514684,4173,154066944,204,736735232,307
09-11-18 22:00,36514684,4170,153817088,203,735686656,308
09-11-18 27:00,36514684,4169,154042368,203,735686656,309
09-11-18 32:00,36514684,4164,153858048,202,734638080,310
09-11-18 37:00,36514684,4172,154173440,204,735948800,311
09-11-18 42:00,36514684,4171,154177536,203,735686656,312
09-11-18 47:00,36514684,4171,154193920,203,735686656,313
09-11-18 52:00,36514684,4166,154161152,201,733589504,314
09-11-18 57:00,36514684,4176,154198016,203,734900224,315
09-11-18 02:00,36514684,4175,154181632,202,734638080,316
09-11-18 07:00,36514684,4174,153837568,202,734638080,317
09-11-18 12:00,36514684,4169,154165248,201,733589504,318
09-11-18 17:00,36514684,4174,153911296,202,734703616,319
09-11-18 22:00,36514684,4175,154210304,203,734965760,320
09-11-18 27:00,36643004,4170,154198016,202,734703616,321
09-11-18 32:00,36643004,4161,154161152,200,732606464,322
09-11-18 37:00,36643004,4167,154198016,202,734703616,323
09-11-18 42:00,36643004,4168,154198016,202,734703616,324
09-11-18 47:00,36643004,4151,154198016,202,733908992,325
09-11-18 52:00,36643004,4163,154054656,201,733655040,326
09-11-18 57:00,36643004,4169,154222592,203,734965760,327
09-11-18 02:00,36643004,4171,154202112,202,734703616,328
09-11-18 07:00,36643004,4172,154255360,203,734965760,329
09-11-18 12:00,36643004,4166,154226688,201,733655040,330
09-11-18 17:00,36643004,4171,154243072,202,734703616,331
09-11-18 22:00,36643004,4172,154247168,202,734703616,332
09-11-18 27:00,36643004,4171,154247168,202,734703616,333
09-11-18 32:00,36643004,4167,154251264,202,733917184,334
09-11-18 37:00,36643004,4165,154132480,203,734957568,335
09-11-18 42:00,36643004,4171,154271744,203,734965760,336
09-11-18 47:00,36643004,4170,154234880,203,735752192,337
09-11-18 52:00,36643004,4166,154255360,202,733917184,338
09-11-18 57:00,35511040,4100,145383424,204,735219712,339
09-11-18 02:00,35541608,4167,148418560,213,745451520,340
09-11-18 07:00,35541608,4166,154554368,212,745058304,341
09-11-18 12:00,35953176,4154,154521600,212,745058304,342
09-11-18 17:00,35953176,4152,154759168,206,738766848,343
09-11-18 22:00,35953176,4152,154382336,206,738766848,344
09-11-18 27:00,35953176,4157,154775552,207,739815424,345
09-11-18 32:00,35953176,4151,154734592,205,737718272,346
09-11-18 37:00,35953176,4152,154750976,206,737980416,347
09-11-18 42:00,35953176,4151,154714112,204,736669696,348
09-11-18 47:00,35953176,4156,154750976,206,737980416,349
09-11-18 52:00,35953176,4157,154718208,204,736669696,350
09-11-18 57:00,35953176,4158,154370048,204,736669696,351
09-11-18 02:00,35953176,4154,154673152,202,734572544,352
09-11-18 07:00,35953176,4157,154390528,202,734572544,353
09-11-18 12:00,35953176,4158,154685440,203,734834688,354
09-11-18 17:00,35953176,4157,154685440,203,735621120,355
09-11-18 22:00,35953176,4152,154664960,202,734572544,356
09-11-18 27:00,35953176,4157,154685440,203,735621120,357
09-11-18 32:00,35953176,4157,154685440,203,735621120,358
09-11-18 37:00,36236212,4156,154689536,203,735621120,359
09-11-18 42:00,36236212,4151,154320896,202,734572544,360
09-11-18 47:00,36236212,4156,154710016,204,736669696,361
09-11-18 52:00,36236212,4157,154431488,204,736669696,362
09-11-18 57:00,36236212,4157,154730496,205,736931840,363
09-11-18 02:00,36236212,4154,154689536,203,735621120,364
09-11-18 07:00,36236212,4159,154710016,204,736669696,365
09-11-18 12:00,36236212,4159,154714112,204,736669696,366
09-11-18 17:00,36236212,4159,154718208,204,736669696,367
09-11-18 22:00,36236212,4137,154693632,203,734826496,368
09-11-18 27:00,36236212,4153,154542080,202,734572544,369
09-11-18 32:00,36236212,4136,154673152,202,733777920,370
09-11-18 37:00,36236212,4153,154640384,202,734572544,371
09-11-18 42:00,36236212,4149,154689536,203,734834688,372
09-11-18 47:00,36236212,4155,154701824,203,735686656,373
09-11-18 52:00,36236212,4155,154685440,202,734638080,374
09-11-18 57:00,36236212,4156,154689536,202,734638080,375
10-11-18 02:00,36236212,4153,154669056,201,733589504,376
10-11-18 07:00,36362952,4153,154710016,203,734900224,377
10-11-18 12:00,36362952,4137,154558464,202,733843456,378
10-11-18 17:00,36362952,4152,154714112,203,734900224,379
10-11-18 22:00,36362952,4147,154640384,201,733589504,380
10-11-18 27:00,36362952,4152,154697728,202,734638080,381
10-11-18 32:00,36362952,4152,154701824,202,734638080,382
10-11-18 37:00,36362952,4152,154701824,202,734638080,383
10-11-18 42:00,36362952,4147,154685440,201,733589504,384
10-11-18 47:00,36362952,4152,154718208,203,735686656,385
10-11-18 52:00,36362952,4151,154722304,203,734900224,386
10-11-18 57:00,36362952,4150,154722304,203,734900224,387
10-11-18 02:00,36362952,4151,154722304,203,734900224,388
10-11-18 07:00,36362952,4138,154681344,203,734892032,389
10-11-18 12:00,36362952,4156,154738688,204,735948800,390
10-11-18 17:00,36362952,4155,154726400,203,735686656,391
10-11-18 22:00,36362952,4150,154710016,202,734638080,392
10-11-18 27:00,36362952,4156,154730496,203,735686656,393
10-11-18 32:00,36362952,4155,154730496,203,735686656,394
10-11-18 37:00,36362952,4156,154750976,204,735948800,395
10-11-18 42:00,36362952,4151,154734592,203,734900224,396
10-11-18 47:00,36362952,4156,154755072,204,735948800,397
10-11-18 52:00,36362952,4155,154738688,203,734900224,398
10-11-18 57:00,36362952,4154,154705920,201,733589504,399
10-11-18 02:00,36983832,4314,146124800,207,738430976,400
10-11-18 07:00,36066564,4156,148963328,213,746303488,401
10-11-18 12:00,36066564,4157,155131904,214,746434560,402
10-11-18 17:00,36066564,4155,155451392,210,742240256,403
10-11-18 22:00,36066564,4155,155389952,207,739094528,404
10-11-18 27:00,36066564,4159,155410432,208,740143104,405
10-11-18 32:00,36066564,4152,155348992,205,736997376,406
10-11-18 37:00,36550404,4147,154742784,204,736669696,407
10-11-18 42:00,36550404,4147,154722304,203,735621120,408
10-11-18 47:00,36550404,4151,154755072,205,737718272,409
10-11-18 52:00,36550404,4151,154755072,205,737718272,410
10-11-18 57:00,36550404,4152,154775552,206,737980416,411
10-11-18 02:00,36550404,4151,154755072,205,736931840,412
10-11-18 07:00,36550404,4156,154755072,205,736931840,413
10-11-18 12:00,36550404,4154,154730496,204,735883264,414
10-11-18 17:00,36550404,4153,154730496,204,736669696,415
10-11-18 22:00,36550404,4148,154710016,203,735621120,416
10-11-18 27:00,36550404,4154,154734592,204,736669696,417
